n,tau_star,tau_w,m,neg_MSE
0.6795878063477725,2494.0574069122526,0.2360920259566277,1.401925045047483,-2572.0713286598643
0.2886837555913377,4014.350364531639,0.9955362185997318,1.1449329914925412,-3807.614176307586
0.7180546771201781,5143.532925423284,0.1567671050270145,1.021928005302287,-75947.08090925585
0.7768072561570734,6575.737028690817,0.3245630171852385,1.225816716018986,-24441.506607709816
0.3203312194265804,4329.935306562204,0.8695779796646816,1.7339657628940413,-4154.282198564092
0.564374318449782,7178.171903673974,0.3664471469435872,1.8007430305922398,-55042.306677605884
0.3878281841548624,3433.6902374825286,0.6132931084909877,1.8526472695507608,-2581.0470564260336
0.6286571962874027,6979.304083750302,0.8383613206231175,1.2928974869143666,-174467.3694611836
0.4564193013876648,1847.7414579618328,0.7120930267061322,1.544591378656406,-1394.989655369605
0.4347578749729446,6117.42332118389,0.5411233224231726,1.6062590992640664,-10543.708070326256
0.5588873781607561,7871.785296499736,0.4853825932853476,1.6669096710192048,-90606.58545720411
0.7214868609610976,3277.6389962823896,0.4618660750161454,1.524053585855952,-52891.865499715925
0.2319455198783303,2364.555311559727,0.7537762725417557,1.0827750817282604,-9283.053089324912
0.5189161597379532,5261.037358041867,0.0844894591211803,1.3247874341715438,-7213.8070891542675
0.2514771245828427,1459.5190873310942,0.0337725264708469,1.445889807666853,-11185.93929544048
0.6243095440062594,1310.8745083993304,0.0969971200355565,1.506017386694814,-12611.158259687187
0.7193240199744992,1008.4952978986394,0.14128176047951535,1.0236639607305191,-56000.94989772777
0.3681095870938087,1539.9936794155662,0.6331204956050384,1.5104911682469946,-3505.5231429413
0.404644370111127,2930.5883217489577,0.8265051728652887,1.6544096584144048,-360.23991187168343
0.40934056413199704,3685.5924498172953,0.2519964459065515,1.5214393715989276,-1053.5410489166952
0.7802191627407615,3628.2312115869354,0.07052189903423858,1.4142822651485965,-2405.159710724687
0.31959511344057323,6244.6153349193455,0.5362097414070753,1.6169842905441418,-1182.733243375963
0.4952743149778454,1132.1079893804965,0.2706415036747212,1.3077853538626356,-1237.3529091678224
0.35491768733561163,5334.612367224754,0.36456362729547037,1.2615721829796602,-377.020582779261
0.30757334004509773,6318.6115742019865,0.7891101746809452,1.366718323480292,-1879.3811961640974
0.3839891742843053,3708.537520213913,0.005,1.2177816077552064,-4875.249613963049
0.7292902532286578,1002.2814978908984,0.17273460194362872,1.3524434158317928,-1731.4327381583169
0.3417710615578593,7975.427024283233,0.029538592036255126,1.3981714014629456,-7894.362823716256
0.2561409563815667,7663.427129299992,0.8161891171525442,1.0,-2154.7449451132334
0.7788126950674031,4622.627622132834,0.17486300367367053,1.546556935578579,-4768.255758615182
0.2,6755.176243782022,1.0,1.1924651426513766,-5983.873352398895
0.20949249672835113,6055.985862356981,0.20061537815846947,1.1352311554831207,-8476.366370022397
0.3771262096469692,7741.780102735929,0.25321959806799105,1.9,-2605.7692255654983
0.34822587582110065,7940.200949343021,0.19745940402196593,1.0,-1640.4351942170576
0.34133164065692195,7996.88297683144,0.6756748918664977,1.8597296329725068,-1303.085225064635
0.3191861959433651,3568.4440133141798,0.28216020407286263,1.0,-6301.270091128525
0.41664619108988554,5744.225404797157,0.1953377488249368,1.1860764954149356,-4538.890166056875
0.28438558279482906,6777.354243180784,0.005,1.0,-5741.94901385711
0.2886757476728467,6595.9537459947505,0.49855957481699137,1.0,-1443.278543220931
0.7280972916431719,6858.05415416342,0.04352755372274159,1.4778017971638522,-5427.514484380315
0.30150302064775325,7938.730600748943,0.3029701986727168,1.149719015591226,-737.6386405844253
0.2,7957.525905698921,1.0,1.8062358871553224,-4835.3855827635325
0.2,7428.041683727738,0.6497853699841456,1.9,-5233.189066159236
0.8,6665.511613210392,0.15886943870044293,1.425370681180333,-3795.555514655158
0.2,7723.078595678444,0.0937183515404148,1.8645222647618211,-4881.356901440518
